"","id","duration","start_station_name","end_station_name","start_station_id","end_station_id","trip_status"
"120",192886,127,"Embarcadero at Vallejo","Embarcadero at Vallejo",48,48,"cancelled"
"121",193025,116,"Market at 10th","Market at 10th",67,67,"cancelled"
"122",193114,143,"San Pedro Square","San Pedro Square",6,6,"cancelled"
"123",193120,158,"Powell at Post (Union Square)","Powell at Post (Union Square)",71,71,"cancelled"
"124",193362,123,"Palo Alto Caltrain Station","Palo Alto Caltrain Station",34,34,"cancelled"
"125",193374,72,"Market at 4th","Market at 4th",76,76,"cancelled"
"126",193477,72,"San Jose Diridon Caltrain Station","San Jose Diridon Caltrain Station",2,2,"cancelled"
"127",193638,101,"Market at 4th","Market at 4th",76,76,"cancelled"
"128",194285,127,"Market at Sansome","Market at Sansome",77,77,"cancelled"
"129",196859,65,"Harry Bridges Plaza (Ferry Building)","Harry Bridges Plaza (Ferry Building)",50,50,"cancelled"
"130",196913,93,"San Jose Diridon Caltrain Station","San Jose Diridon Caltrain Station",2,2,"cancelled"
"131",197796,105,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"132",197960,164,"2nd at South Park","2nd at South Park",64,64,"cancelled"
"133",432795,79,"Washington at Kearny","Washington at Kearny",46,46,"cancelled"
"134",432753,168,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"135",432708,138,"Market at Sansome","Market at Sansome",77,77,"cancelled"
"136",432584,64,"Davis at Jackson","Davis at Jackson",42,42,"cancelled"
"137",432473,114,"Powell Street BART","Powell Street BART",39,39,"cancelled"
"138",432417,103,"Powell Street BART","Powell Street BART",39,39,"cancelled"
"139",432304,85,"Market at 4th","Market at 4th",76,76,"cancelled"
"140",432164,122,"San Antonio Shopping Center","San Antonio Shopping Center",31,31,"cancelled"
"141",431886,174,"2nd at South Park","2nd at South Park",64,64,"cancelled"
"142",431885,159,"2nd at South Park","2nd at South Park",64,64,"cancelled"
"143",431877,62,"Mechanics Plaza (Market at Battery)","Mechanics Plaza (Market at Battery)",75,75,"cancelled"
"144",431872,83,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"145",431764,121,"Harry Bridges Plaza (Ferry Building)","Harry Bridges Plaza (Ferry Building)",50,50,"cancelled"
"146",431692,62,"Commercial at Montgomery","Commercial at Montgomery",45,45,"cancelled"
"147",429029,66,"Civic Center BART (7th at Market)","Civic Center BART (7th at Market)",72,72,"cancelled"
"148",427340,77,"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain (Townsend at 4th)",70,70,"cancelled"
"149",427006,95,"San Francisco Caltrain 2 (330 Townsend)","San Francisco Caltrain 2 (330 Townsend)",69,69,"cancelled"
"150",426408,120,"2nd at Folsom","2nd at Folsom",62,62,"cancelled"
"151",426231,68,"Grant Avenue at Columbus Avenue","Grant Avenue at Columbus Avenue",73,73,"cancelled"
"152",426115,99,"Market at 4th","Market at 4th",76,76,"cancelled"
"153",425916,78,"South Van Ness at Market","South Van Ness at Market",66,66,"cancelled"
"154",425355,139,"South Van Ness at Market","South Van Ness at Market",66,66,"cancelled"
"155",424820,179,"San Salvador at 1st","San Salvador at 1st",8,8,"cancelled"
"156",423272,75,"Embarcadero at Folsom","Embarcadero at Folsom",51,51,"cancelled"
"157",421797,64,"San Francisco City Hall","San Francisco City Hall",58,58,"cancelled"
"158",421417,97,"Powell at Post (Union Square)","Powell at Post (Union Square)",71,71,"cancelled"
"159",421267,62,"Post at Kearny","Post at Kearny",47,47,"cancelled"
"160",420691,116,"Davis at Jackson","Davis at Jackson",42,42,"cancelled"
"161",419506,104,"Embarcadero at Bryant","Embarcadero at Bryant",54,54,"cancelled"
"162",419504,64,"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain (Townsend at 4th)",70,70,"cancelled"
"163",419290,98,"Santa Clara County Civic Center","Santa Clara County Civic Center",80,80,"cancelled"
"164",419199,78,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"165",418587,74,"Market at 10th","Market at 10th",67,67,"cancelled"
"166",417880,97,"Ryland Park","Ryland Park",84,84,"cancelled"
"167",417561,90,"Townsend at 7th","Townsend at 7th",65,65,"cancelled"
"168",417074,72,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"169",416452,64,"Steuart at Market","Steuart at Market",74,74,"cancelled"
"170",414736,115,"Powell at Post (Union Square)","Powell at Post (Union Square)",71,71,"cancelled"
"171",412441,64,"MLK Library","MLK Library",11,11,"cancelled"
"172",412246,110,"Powell Street BART","Powell Street BART",39,39,"cancelled"
"173",412121,147,"Embarcadero at Folsom","Embarcadero at Folsom",51,51,"cancelled"
"174",412119,158,"Embarcadero at Folsom","Embarcadero at Folsom",51,51,"cancelled"
"175",412004,61,"Powell Street BART","Powell Street BART",39,39,"cancelled"
"176",411589,93,"Civic Center BART (7th at Market)","Civic Center BART (7th at Market)",72,72,"cancelled"
"177",411516,167,"2nd at Townsend","2nd at Townsend",61,61,"cancelled"
"178",411312,171,"Spear at Folsom","Spear at Folsom",49,49,"cancelled"
"179",411033,138,"2nd at Townsend","2nd at Townsend",61,61,"cancelled"
"180",410597,60,"Broadway St at Battery St","Broadway St at Battery St",82,82,"cancelled"
"181",410162,64,"Temporary Transbay Terminal (Howard at Beale)","Temporary Transbay Terminal (Howard at Beale)",55,55,"cancelled"
"182",410102,71,"Grant Avenue at Columbus Avenue","Grant Avenue at Columbus Avenue",73,73,"cancelled"
"183",410101,79,"Grant Avenue at Columbus Avenue","Grant Avenue at Columbus Avenue",73,73,"cancelled"
"184",409979,63,"Powell Street BART","Powell Street BART",39,39,"cancelled"
"185",409345,62,"Townsend at 7th","Townsend at 7th",65,65,"cancelled"
"186",407303,85,"2nd at Townsend","2nd at Townsend",61,61,"cancelled"
"187",407302,84,"2nd at Townsend","2nd at Townsend",61,61,"cancelled"
"188",406512,69,"San Salvador at 1st","San Salvador at 1st",8,8,"cancelled"
"189",405485,85,"Howard at 2nd","Howard at 2nd",63,63,"cancelled"
"190",405130,174,"Howard at 2nd","Howard at 2nd",63,63,"cancelled"
"191",405126,122,"Howard at 2nd","Howard at 2nd",63,63,"cancelled"
"192",404833,103,"San Francisco Caltrain 2 (330 Townsend)","San Francisco Caltrain 2 (330 Townsend)",69,69,"cancelled"
"193",404794,117,"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain (Townsend at 4th)",70,70,"cancelled"
